country,subnational1,threshold,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
South Sudan,Eastern Equatoria,30,48,44,68,34,36,92,36,7,75,132,68,122,34,44,37,197,60,312,60,30,58,15,32
South Sudan,Upper Nile,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Sudan,West Equatoria,30,6,4,11,11,9,9,11,15,2,14,17,21,50,21,48,37,18,22,25,44,49,78,62
Sri Lanka,Ampara,30,36,93,99,81,36,65,41,16,32,25,150,9,16,0,8,27,1,10,16,5,9,6,14
Sri Lanka,Anuradhapura,30,2,5,5,2,23,39,24,10,10,13,5,27,40,8,9,3,11,10,5,26,43,14,8
Sri Lanka,Badulla,30,1,0,0,1,0,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1
Sri Lanka,Batticaloa,30,1,1,3,1,5,4,0,11,1,2,1,0,0,106,17,0,1,5,1,0,0,0,0
Sri Lanka,Colombo,30,3,0,0,12,23,1,0,1,0,0,3,4,0,0,0,3,0,0,0,0,1,7,0
Sri Lanka,Galle,30,0,2,1,5,2,4,3,6,5,10,11,0,1,0,1,17,0,4,0,3,6,8,3
Sri Lanka,Hambantota,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,8,0,0,0,0,0,3
Sri Lanka,Jaffna,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka,Kalutara,30,1,0,0,1,11,9,1,4,1,1,5,1,2,0,3,13,16,10,10,2,1,0,2
Sri Lanka,Kandy,30,0,3,2,5,3,3,4,6,1,14,7,5,8,1,5,1,3,3,3,5,2,3,1
Sri Lanka,Kegalle,30,0,0,0,0,3,1,1,1,0,0,1,1,0,0,1,2,0,0,1,0,0,1,0
Sri Lanka,Kilinochchi,30,0,1,5,2,7,13,5,5,7,13,1,4,3,0,3,4,5,3,4,18,5,11,2
Sri Lanka,Kurunegala,30,0,3,2,1,4,4,2,4,0,1,9,1,5,1,5,3,3,1,3,9,47,4,4
Sri Lanka,Mannar,30,0,2,0,3,0,1,27,4,5,6,3,12,67,6,4,3,6,1,1,0,4,2,1
Sri Lanka,Matale,30,4,1,14,6,26,20,20,73,52,64,37,12,10,54,110,305,184,147,42,35,6,11,11
Sri Lanka,Matara,30,1,2,13,10,2,4,3,4,8,6,6,1,1,2,7,13,15,3,2,5,10,2,3
Sri Lanka,Moneragala,30,378,827,261,320,135,307,196,97,118,111,1082,8,31,8,20,21,10,5,8,2,11,30,45
Sri Lanka,Mullaitivu,30,1,6,15,18,9,39,35,54,15,15,28,13,19,12,27,13,20,21,14,13,18,12,39
Sri Lanka,Nuwara Eliya,30,32,3,12,28,64,31,62,69,3,26,28,2,4,2,3,1,3,25,3,37,8,14,64
Sri Lanka,Polonnaruwa,30,8,0,2,2,1,2,1,12,13,38,11,11,24,50,94,73,36,98,86,43,15,17,18
Sri Lanka,Puttalam,30,6,1,1,0,1,0,2,0,2,1,5,0,0,0,0,0,0,0,1,0,0,1,0
Sri Lanka,Ratnapura,30,3,10,6,8,25,16,14,13,7,16,16,1,3,24,17,10,44,6,10,10,7,7,12
Sri Lanka,Trincomalee,30,24,6,5,4,3,76,18,37,9,15,25,5,6,26,11,70,40,12,38,26,21,12,17
Sri Lanka,Vavuniya,30,12,13,11,26,18,23,31,69,54,98,139,100,116,48,63,30,20,39,24,31,13,55,57
Suriname,Brokopondo,30,513,1082,850,431,661,607,1389,1175,1488,1560,3984,1641,2257,1469,1828,2560,2839,2725,2328,2649,2991,4186,3395
Suriname,Commewijne,30,4,11,132,163,70,63,156,34,30,31,116,48,96,139,399,139,112,98,113,92,64,124,1703
Suriname,Coronie,30,1,20,3,8,0,1,37,6,2,1,12,3,10,105,77,119,74,120,203,77,19,99,702
Suriname,Marowijne,30,138,165,396,172,147,186,355,322,326,152,504,449,623,423,696,624,652,620,658,377,572,932,742
Suriname,Nickerie,30,17,104,14,16,19,48,55,23,18,16,29,14,56,76,159,26,13,60,75,32,34,533,4867
Suriname,Para,30,158,190,143,165,133,150,399,817,594,363,1297,1189,797,790,894,1353,1052,1164,710,893,695,1188,938
Suriname,Paramaribo,30,0,0,0,0,0,0,0,0,0,14,5,9,12,23,2,4,0,1,5,0,0,2,0
Suriname,Saramacca,30,66,52,59,62,86,150,88,59,123,98,303,56,82,122,389,142,97,537,139,49,73,432,277
Suriname,Sipaliwini,30,1030,613,1210,781,762,945,1944,1780,2204,1877,7264,3193,5576,4837,5945,8717,10500,8660,6782,5908,7589,10416,6032
Suriname,Wanica,30,0,2,4,5,10,5,3,5,6,8,23,22,145,92,64,29,22,23,58,32,1,77,52
Tanzania,Arusha,30,101,45,21,21,15,80,31,5,60,23,27,38,21,31,19,56,43,27,40,11,15,21,33
Tanzania,Dar es Salaam,30,0,2,3,3,8,1,7,2,7,4,0,9,22,6,3,8,7,6,3,0,1,3,5
Tanzania,Dodoma,30,1,7,2,15,3,1,1,2,1,7,1,6,4,11,8,36,1,1,34,8,11,5,50
Tanzania,Geita,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Tanzania,Iringa,30,263,127,74,118,32,198,195,184,123,221,167,222,356,175,242,181,180,147,328,177,125,263,222
Tanzania,Kagera,30,0,0,0,14,1,10,2,0,9,10,106,209,85,378,492,387,221,141,154,117,56,284,808
Tanzania,Kigoma,30,5,10,9,11,10,25,25,16,10,2,13,9,29,11,27,16,39,25,30,16,2,3,12
Tanzania,Kilimanjaro,30,32,20,24,15,7,31,14,8,57,24,16,28,37,2,9,47,39,82,182,9,23,4,29
Tanzania,Lindi,30,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2
Tanzania,Manyara,30,23,16,4,4,7,12,3,3,18,0,2,32,55,12,4,6,18,3,37,7,2,2,28
Tanzania,Mbeya,30,6,64,105,142,6,122,68,149,45,3,137,183,410,61,117,49,120,25,271,131,76,65,157
Tanzania,Morogoro,30,323,300,335,262,456,160,565,399,392,347,611,1562,1603,606,1046,911,709,1314,1304,936,894,1584,1547
Tanzania,Mtwara,30,0,0,0,0,1,0,3,0,1,0,0,0,2,3,1,0,1,1,3,1,0,0,8
Tanzania,Mwanza,30,0,0,0,1,0,8,0,0,0,1,2,1,8,0,8,11,11,4,5,0,0,0,0
Tanzania,Njombe,30,49,34,40,63,5,45,19,48,18,25,29,51,101,40,40,81,57,25,109,86,34,151,127
Tanzania,Kaskazini Pemba,30,0,0,2,0,0,1,1,2,0,0,3,16,90,0,0,4,12,4,17,0,2,9,1
Tanzania,Kusini Pemba,30,2,0,3,0,2,0,9,3,3,4,1,4,3,1,2,2,5,6,2,0,1,2,1
Tanzania,Pwani,30,6,6,37,34,62,19,29,13,64,16,7,49,116,53,52,133,46,95,108,212,163,169,62
Tanzania,Rukwa,30,0,0,1,2,52,25,0,0,8,16,5,11,4,3,2,2,1,6,73,7,4,8,6
Tanzania,Ruvuma,30,2,0,1,0,0,3,1,0,0,18,5,1,14,8,6,3,0,0,1,2,1,39,14
Tanzania,Tanga,30,16,79,54,30,61,158,60,84,242,66,213,152,381,97,130,252,723,732,710,174,322,581,573
Tanzania,Kaskazini Unguja,30,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0
Tanzania,Kusini Unguja,30,0,0,0,0,0,0,1,0,0,0,0,3,4,1,1,0,5,9,2,10,3,1,4
Tanzania,Mjini Magharibi,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Tanzania,Songwe,30,5,7,1,7,1,5,7,10,16,6,9,28,63,10,9,5,15,3,37,8,10,13,16
Thailand,Amnat Charoen,30,142,5,117,2,3,25,0,14,35,116,116,21,13,3,2,1,1,0,2,1,4,1,0
Thailand,Bueng Kan,30,16,42,0,45,3,107,2,26,90,1,16,11,3,0,2,8,0,9,0,0,0,2,1
Thailand,Buri Ram,30,1,21,29,2,23,5,2,10,85,6,28,44,1,1,3,14,1,70,1,6,10,1,3
Thailand,Chachoengsao,30,11,76,52,29,57,38,23,37,65,52,87,7,7,0,14,1,1,29,2,11,3,10,40
Thailand,Chai Nat,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Chaiyaphum,30,2,13,29,51,32,27,24,33,45,41,70,77,14,1,22,20,5,7,21,16,22,12,17
Thailand,Chanthaburi,30,55,220,129,151,276,279,63,319,449,246,343,405,268,29,186,178,64,96,114,150,246,277,204
Thailand,Chiang Mai,30,130,127,224,118,202,283,191,421,314,189,162,289,467,449,767,669,390,506,506,502,640,759,592
Thailand,Chiang Rai,30,23,30,24,16,45,43,36,59,110,123,158,36,41,23,43,20,14,36,35,25,30,50,59
Thailand,Chon Buri,30,5,25,17,39,58,27,4,10,10,15,19,2,0,0,5,0,2,3,16,0,3,2,1
Thailand,Chumphon,30,137,173,288,604,296,491,205,670,424,328,240,57,98,18,48,28,16,30,28,51,38,57,68
Thailand,Kalasin,30,0,0,0,0,0,1,0,3,9,0,0,1,3,0,38,0,0,1,5,0,0,0,0
Thailand,Kamphaeng Phet,30,15,4,16,34,13,15,20,3,24,27,58,3,4,3,3,5,1,1,45,2,1,3,1
Thailand,Kanchanaburi,30,81,10,177,96,47,166,34,77,478,76,309,11,41,23,100,60,89,83,261,32,50,76,113
Thailand,Khon Kaen,30,14,1,2,5,1,0,0,0,18,0,6,2,1,0,8,0,0,0,4,2,0,0,0
Thailand,Krabi,30,114,321,442,487,359,339,285,735,467,505,346,73,109,35,143,226,35,33,20,46,64,104,100
Thailand,Lampang,30,87,31,118,167,71,66,115,79,94,147,125,42,42,17,29,22,16,15,29,14,19,33,18
Thailand,Lamphun,30,1,0,1,2,2,1,1,5,5,16,1,1,0,2,4,7,6,2,2,0,2,1,0
Thailand,Loei,30,1,0,7,4,7,3,3,4,7,8,1,4,3,1,8,14,1,1,4,4,8,16,1
Thailand,Lop Buri,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0
Thailand,Mae Hong Son,30,85,80,103,75,78,158,101,230,160,101,64,168,317,284,427,344,275,369,430,190,299,381,346
Thailand,Mukdahan,30,25,14,39,4,9,10,0,25,66,33,91,32,3,7,28,12,5,4,7,6,10,8,10
Thailand,Nakhon Nayok,30,3,27,13,10,30,18,11,30,13,9,27,0,1,0,10,2,2,1,4,6,13,14,3
Thailand,Nakhon Phanom,30,22,38,350,107,256,174,0,142,167,256,256,48,42,15,31,34,24,39,54,117,74,67,66
Thailand,Nakhon Ratchasima,30,11,44,39,46,60,75,30,41,242,61,26,163,32,7,32,19,5,67,16,7,26,26,21
Thailand,Nakhon Sawan,30,11,1,17,9,7,2,14,0,8,17,17,0,0,0,1,0,0,1,16,0,0,0,0
Thailand,Nakhon Si Thammarat,30,288,422,764,635,1092,644,1362,1203,1355,1196,689,93,181,91,138,238,137,153,116,149,199,165,247
Thailand,Nan,30,78,56,64,70,107,143,237,138,239,213,214,93,89,83,141,93,60,102,108,103,86,168,185
Thailand,Narathiwat,30,139,205,453,391,448,791,98,654,665,336,359,244,370,189,186,140,60,82,73,68,66,42,289
Thailand,Pattani,30,8,0,1,4,5,7,3,8,5,2,3,0,0,1,4,1,0,0,0,0,0,0,0
Thailand,Phangnga,30,177,258,853,1176,548,1047,456,1309,651,542,306,306,435,118,170,143,112,104,106,139,159,241,287
Thailand,Phatthalung,30,21,16,11,27,69,34,64,89,109,54,34,10,13,4,8,19,1,0,2,2,4,1,1
Thailand,Phayao,30,93,93,142,86,187,151,246,198,378,303,589,153,128,115,168,31,7,27,83,86,28,51,61
Thailand,Phetchabun,30,0,3,12,13,11,13,6,11,26,12,19,16,3,1,31,22,9,7,6,16,8,7,5
Thailand,Phetchaburi,30,85,49,98,353,30,99,49,154,274,52,49,25,29,16,421,23,15,19,318,17,38,50,29
Thailand,Phitsanulok,30,3,5,17,4,6,11,11,14,26,10,16,5,3,0,4,15,2,1,0,1,25,93,0
Thailand,Phrae,30,58,23,57,91,183,84,88,49,140,103,91,28,19,10,12,5,2,11,16,17,5,17,10
Thailand,Phuket,30,11,11,32,17,13,50,26,41,32,20,7,7,18,2,9,5,8,17,15,15,20,15,16
Thailand,Prachin Buri,30,3,84,45,40,60,35,23,48,54,44,39,29,0,0,5,3,1,1,8,0,9,3,0
Thailand,Prachuap Khiri Khan,30,100,97,190,323,548,801,309,1064,354,212,249,102,188,59,149,141,21,45,75,38,52,92,123
Thailand,Ranong,30,135,124,207,446,397,475,131,395,306,287,217,66,60,22,37,14,8,11,24,30,28,52,61
Thailand,Ratchaburi,30,5,2,6,100,3,44,1,17,20,11,11,1,2,1,113,0,0,9,40,0,0,0,4
Thailand,Rayong,30,9,43,10,25,49,72,21,45,30,35,34,18,6,4,8,3,8,6,10,2,5,9,8
Thailand,Roi Et,30,3,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,2,0,1,1,0
Thailand,Sa Kaeo,30,3,29,10,19,16,4,4,5,67,5,14,151,5,1,3,17,32,2,14,3,1,0,0
Thailand,Sakon Nakhon,30,2,0,2,4,0,5,0,16,17,8,6,3,1,0,4,2,0,2,0,0,0,0,1
Thailand,Saraburi,30,6,3,4,4,11,12,9,18,15,12,4,8,9,2,36,37,17,18,15,21,24,31,22
Thailand,Satun,30,91,126,199,489,279,290,358,571,291,122,123,79,70,19,87,46,13,12,14,9,17,20,28
Thailand,Si Sa Ket,30,45,31,87,22,108,48,16,122,242,68,67,31,13,7,13,22,3,7,7,9,3,1,1
Thailand,Songkhla,30,43,62,266,602,276,311,394,355,257,217,156,84,151,48,58,43,11,18,7,8,12,7,9
Thailand,Sukhothai,30,147,13,152,112,43,52,162,101,67,114,150,17,16,3,5,13,3,6,13,25,5,4,7
Thailand,Suphan Buri,30,5,2,4,6,1,2,0,4,1,2,5,0,2,2,3,1,0,2,0,0,0,1,1
Thailand,Surat Thani,30,461,373,623,1931,1119,1644,806,1358,1391,926,568,150,198,37,101,135,67,58,90,124,99,150,202
Thailand,Surin,30,3,7,10,14,80,18,5,21,45,21,24,3,4,2,45,17,0,0,2,1,0,0,0
Thailand,Tak,30,111,83,210,161,192,198,144,213,431,189,200,199,331,326,509,440,238,324,387,584,494,452,396
Thailand,Trang,30,176,224,420,455,621,532,970,907,367,339,248,123,112,23,73,26,24,27,19,33,65,109,125
Thailand,Trat,30,29,93,131,113,159,133,95,193,101,122,99,118,63,33,48,125,53,42,143,118,153,293,86
Thailand,Ubon Ratchathani,30,11,38,73,78,82,62,86,170,117,54,51,38,13,18,22,40,23,19,21,20,20,19,9
Thailand,Udon Thani,30,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,Uthai Thani,30,56,44,34,90,12,20,77,8,59,57,62,2,5,1,38,14,3,3,138,15,4,29,55
Thailand,Uttaradit,30,18,4,12,11,77,7,12,7,41,33,24,3,4,0,4,1,1,0,0,0,4,4,1
Thailand,Yala,30,285,284,485,626,745,1057,347,610,534,306,453,223,551,99,123,65,25,32,33,31,66,48,60
Thailand,Yasothon,30,122,1,71,2,3,45,0,62,30,115,290,10,6,0,3,3,0,0,3,0,2,1,0
Togo,Maritime,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Togo,Plateaux,30,2,1,0,1,0,4,0,0,0,0,1,4,25,0,242,9,2,0,0,12,13,2,0
Uganda,Adjumani,30,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,9,4
Uganda,Bugiri,30,9,8,2,101,8,203,15,19,237,1,8,13,7,5,10,11,15,6,7,5,4,7,3
Uganda,Bundibugyo,30,2,6,9,2,2,12,3,9,10,13,7,168,46,69,2,5,25,52,105,50,21,57,21
Uganda,Bushenyi,30,9,4,2,7,14,17,6,12,12,3,7,17,20,84,106,30,83,192,167,48,19,13,11
Uganda,Busia,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uganda,Hoima,30,96,323,156,388,411,178,887,512,642,1021,732,316,322,309,402,741,343,239,290,1915,1501,409,1123
Uganda,Kabale,30,0,0,0,0,5,1,0,0,1,0,1,6,15,3,1,1,9,0,12,1,0,0,4
Uganda,Kabarole,30,4,23,22,24,14,24,19,32,53,32,49,35,45,19,31,22,22,28,106,15,8,32,16
Uganda,Kalangala,30,56,5,50,434,611,180,192,50,186,266,126,219,198,277,483,709,758,459,389,320,305,266,163
Uganda,Kamwenge,30,2,0,0,2,1,4,0,2,6,1,3,0,2,2,2,1,7,14,10,15,0,2,3
Uganda,Kanungu,30,1,0,13,14,7,11,1,12,5,5,4,20,20,1,2,4,23,6,22,13,1,3,2
Uganda,Kapchorwa,30,14,3,3,0,2,89,9,30,2,2,16,2,1,3,0,8,10,33,0,1,0,0,4
Uganda,Kasese,30,14,22,8,21,12,15,23,19,19,14,25,93,120,32,50,55,104,56,206,152,55,57,34
Uganda,Kayunga,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,32,13,0,0
Uganda,Kibale,30,175,359,418,772,727,757,1547,847,1472,3062,2336,822,1109,934,1151,1084,470,255,337,143,353,235,419
Uganda,Kiboga,30,32,145,403,398,96,145,303,58,163,299,86,37,52,17,27,23,15,18,18,20,33,19,29
Uganda,Kisoro,30,0,0,1,2,1,9,0,0,6,4,2,19,34,5,3,9,15,5,9,3,6,3,2
Uganda,Kitgum,30,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,10,2,0,0,0,0
Uganda,Kyenjojo,30,27,50,101,196,109,247,204,60,269,240,224,142,115,102,155,136,278,126,272,83,250,98,76
Uganda,Lake Victoria,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Uganda,Masaka,30,0,0,1,0,2,0,0,0,2,0,0,4,13,58,117,207,42,68,77,89,11,71,145
Uganda,Masindi,30,12,61,25,82,91,7,73,35,20,22,36,5,14,23,15,27,8,13,96,10,3,4,12
Uganda,Mayuge,30,1,12,16,70,32,151,90,51,13,15,5,3,12,0,1,2,4,14,14,11,16,6,2
Uganda,Mbale,30,8,80,9,1,5,755,98,12,232,2,21,23,14,15,0,3,0,38,0,23,2,0,24
Uganda,Mbarara,30,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,2,5,0,0,1,0,0
Uganda,Moroto,30,27,21,0,8,13,46,5,10,15,0,14,0,1,0,0,1,4,2,22,0,3,10,14
Uganda,Mpigi,30,14,103,21,24,68,124,85,68,230,806,203,339,302,237,389,230,269,181,188,178,226,132,93
Uganda,Mubende,30,43,68,140,165,173,387,247,65,261,476,147,69,138,81,75,127,95,85,139,117,134,167,96
Uganda,Mukono,30,85,162,135,150,422,474,419,420,688,1490,407,1124,798,804,1252,1257,1391,1322,963,476,412,429,459
Uganda,Nakapiripirit,30,17,23,5,4,0,123,5,8,12,8,59,9,6,6,3,83,51,25,83,3,4,28,39
Uganda,Rakai,30,0,0,0,0,0,0,0,0,0,0,1,19,0,2,1,21,13,39,7,2,4,0,4
Uganda,Rukungiri,30,3,0,10,8,0,0,0,13,3,4,1,8,1,6,0,0,2,8,9,5,0,17,4
Uganda,Sironko,30,2,24,5,1,0,42,12,6,56,1,2,12,6,4,0,10,0,9,0,1,0,0,1
Uganda,Wakiso,30,0,8,16,12,51,25,40,21,127,138,21,20,10,13,23,35,14,9,3,7,10,10,17
United States,Hawaii,30,12,8,31,10,20,37,32,39,29,42,95,86,162,265,285,26,88,73,39,4,9,51,393
Vanuatu,Malampa,30,3,11,33,16,16,3,11,6,13,23,12,66,12,177,49,8,6,1,4,0,0,18,3
Vanuatu,Penama,30,2,7,5,3,6,0,5,3,1,2,7,6,5,1,1,1,67,24,1296,0,0,16,2
Vanuatu,Sanma,30,0,3,9,11,1,1,8,11,4,2,9,60,52,27,26,14,1,6,372,3,9,13,5
Vanuatu,Shefa,30,4,3,3,3,5,5,13,18,16,7,19,84,28,258,87,93,0,14,0,0,0,5,19
Vanuatu,Tafea,30,4,301,52,13,31,13,6,781,73,324,0,8,18,234,59,4,2,2,1,7,5,20,24
Vanuatu,Torba,30,3,3,5,3,6,1,3,3,18,6,13,4,2,0,0,64,160,1,0,0,0,1,22
Venezuela,Amazonas,30,1778,3468,2911,1977,1612,8750,3365,2957,8446,1893,3063,3626,4329,2576,41339,6845,10315,27133,13085,4797,4509,6617,14888
Venezuela,Anzoátegui,30,3,14,17,5,8,22,17,11,14,11,11,7,17,9,48,155,87,74,164,148,77,60,36
Venezuela,Apure,30,726,352,1012,999,521,1124,1109,1416,921,558,1019,539,737,671,1083,1624,735,1029,2460,1521,1240,1276,1442
Venezuela,Aragua,30,23,133,26,62,67,30,54,44,21,44,84,62,13,17,41,100,20,20,39,46,7,19,15
Venezuela,Barinas,30,1032,436,931,1636,627,1771,2160,1338,796,330,823,940,1065,643,818,1719,914,817,1607,1118,936,1221,937
Venezuela,Bolívar,30,5330,12466,6582,6133,8330,9219,9147,13877,10995,9778,13370,8399,12225,10055,21318,17165,11467,24553,24620,9303,9127,14385,49408
Venezuela,Carabobo,30,18,9,15,53,25,13,16,14,17,19,9,22,6,14,44,49,79,58,50,12,4,4,12
Venezuela,Cojedes,30,24,6,9,11,11,1,13,21,23,8,17,19,7,6,16,19,9,4,10,6,5,0,4
Venezuela,Delta Amacuro,30,241,350,309,340,316,280,278,409,577,416,557,586,585,344,1230,1177,713,1115,1188,681,496,758,3783
Venezuela,Dependencias Federales,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,Distrito Capital,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,5,0,0,0
Venezuela,Falcón,30,147,448,254,372,344,430,409,277,316,211,181,50,98,84,530,728,545,277,410,249,155,211,206
Venezuela,Guárico,30,8,27,27,12,35,13,34,8,18,36,27,50,70,23,108,193,33,113,66,80,87,20,134
Venezuela,Lara,30,55,55,110,110,70,116,92,123,112,93,33,26,48,27,146,422,217,196,268,67,69,78,203
Venezuela,Mérida,30,147,173,303,395,145,323,175,206,187,69,184,49,86,31,207,500,231,256,298,231,198,222,172
Venezuela,Miranda,30,83,266,276,361,382,809,532,262,272,444,400,250,218,174,1881,891,509,592,2985,746,331,314,505
Venezuela,Monagas,30,124,96,178,122,152,150,141,148,252,142,177,138,150,82,376,505,356,455,719,303,254,280,920
Venezuela,Nueva Esparta,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,12,0,0,0,0,0,0,0
Venezuela,Portuguesa,30,99,33,103,240,80,109,313,164,190,99,136,66,100,58,103,402,118,122,232,183,132,162,119
Venezuela,Sucre,30,150,283,335,180,114,198,310,123,190,113,175,112,193,195,624,1652,973,706,1852,1030,653,610,515
Venezuela,Táchira,30,385,251,688,722,347,707,437,621,760,222,859,69,253,193,497,536,294,371,571,412,229,388,443
Venezuela,Trujillo,30,142,158,283,217,116,168,143,148,124,74,121,81,47,34,111,420,107,62,47,111,77,82,78
Venezuela,Vargas,30,19,91,30,27,25,25,46,18,6,68,44,47,19,20,34,70,86,28,262,23,20,44,31
Venezuela,Yaracuy,30,42,49,41,85,76,141,136,67,102,56,8,20,18,15,112,139,163,64,169,45,17,36,51
Venezuela,Zulia,30,735,1585,1440,1492,827,1692,916,1171,1434,893,800,158,304,255,14021,8415,2144,710,2541,1552,1167,689,516
Vietnam,An Giang,30,2,0,0,1,1,2,1,1,3,1,0,1,1,0,2,3,3,2,0,0,1,1,0
Vietnam,Bắc Giang,30,11,13,82,39,29,308,161,443,315,582,410,510,736,660,1931,2396,937,968,1228,1295,1066,552,651
Vietnam,Bắc Kạn,30,87,106,442,279,100,168,153,267,225,352,119,107,90,200,371,290,235,190,168,223,352,194,240
Vietnam,Bà Rịa - Vũng Tàu,30,7,0,3,4,36,28,29,31,156,39,80,1,4,5,1,6,5,1,1,0,1,0,3
Vietnam,Bình Định,30,203,245,332,731,608,920,827,1915,1072,1025,1766,621,1439,2568,3108,1463,735,1074,1111,1099,1066,787,644
Vietnam,Bình Phước,30,402,422,2707,3438,1922,1070,3283,5837,6484,5000,2235,123,110,300,783,240,175,205,137,106,305,171,232
Vietnam,Bình Thuận,30,1023,357,917,2029,496,983,883,268,2422,860,2413,124,307,249,291,176,162,116,146,53,64,62,63
Vietnam,Cà Mau,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,24,62,10,8,14,12,36,15
Vietnam,Cao Bằng,30,71,78,214,130,98,161,61,105,265,154,45,39,30,104,110,140,118,100,87,111,178,97,131
Vietnam,Đắk Lắk,30,1155,571,1667,2157,1262,1169,2303,2875,5305,2416,5155,1193,2202,1676,3943,2850,2507,1579,2155,1390,1046,1075,1124
Vietnam,Đắk Nông,30,2269,953,3311,3853,2208,1513,8733,4310,16401,7982,9610,1754,5176,3287,4780,2751,1632,1543,1068,906,629,640,607
Vietnam,Đồng Nai,30,129,3,11,31,29,46,107,34,33,10,37,9,15,25,38,24,44,72,44,9,45,14,19
Vietnam,Đà Nẵng,30,30,33,216,242,426,47,18,139,33,25,333,221,242,71,171,180,174,225,221,79,87,76,28
Vietnam,Điện Biên,30,124,230,48,297,564,773,366,771,874,402,381,827,904,994,1381,1025,668,794,701,546,474,536,443
Vietnam,Gia Lai,30,787,548,922,921,805,570,1708,2354,2310,2270,4084,1295,2187,2156,6197,1859,1368,1611,1851,1016,723,520,755
Vietnam,Hải Dương,30,0,0,0,0,0,1,0,3,0,4,1,4,4,20,28,35,22,31,19,25,22,32,38
Vietnam,Hải Phòng,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17
Vietnam,Hồ Chí Minh,30,4,1,3,0,4,0,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,8,1
Vietnam,Hà Giang,30,135,135,191,151,170,179,184,98,488,295,105,57,43,107,198,277,195,137,215,98,116,51,78
Vietnam,Hà Nội,30,0,0,2,1,0,0,1,0,0,5,0,0,0,0,0,6,0,1,0,1,0,0,0
Vietnam,Hà Nam,30,1,0,10,3,1,3,3,3,1,5,3,0,7,2,2,25,13,23,23,8,14,10,3
Vietnam,Hà Tĩnh,30,581,1100,1216,774,391,1165,805,1627,959,820,3423,1011,1585,2417,2995,2344,1814,2110,1999,1416,1406,1120,729
Vietnam,Hoà Bình,30,12,37,164,181,35,253,264,269,82,287,147,147,293,442,434,300,307,253,295,291,169,151,123
Vietnam,Khánh Hòa,30,516,106,516,679,1108,556,555,594,855,692,966,288,682,705,1154,1287,2113,659,729,486,445,354,285
Vietnam,Kiên Giang,30,3,73,26,8,18,14,29,51,31,33,30,53,186,113,211,149,97,60,66,108,180,54,24
Vietnam,Kon Tum,30,482,482,765,916,1037,1185,3084,8900,5640,10127,13353,3351,3245,3184,7710,3290,2514,2975,2993,1512,754,507,797
Vietnam,Lạng Sơn,30,147,67,644,274,223,609,241,792,296,441,298,221,287,477,1563,1576,1348,771,1481,1303,2444,1388,1076
Vietnam,Lai Châu,30,65,36,36,141,132,442,141,126,262,41,60,140,183,262,469,128,143,139,93,92,123,92,54
