country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2012_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,tc_loss_ha_2023,tc_loss_ha_2024
Albania,25,2872761,706414,620928,16468,3737,890,618,3245,697,966,5237,5489,1341,657,1201,5481,2654,1098,308,1004,1852,2158,1143,1185,1824,2236,2598,957
Albania,30,2872761,648459,588824,16468,3729,890,614,3235,694,962,5222,5470,1338,653,1187,5396,2570,1051,284,928,1687,2049,1073,1116,1685,2096,2502,889
Albania,50,2872761,534671,428698,16468,3401,836,533,2993,630,901,4890,5033,1253,603,1032,4823,2222,940,254,758,1371,1798,947,939,1371,1779,2257,727
Albania,75,2872761,363706,190756,16468,2582,706,375,2429,486,751,3944,4056,1018,499,788,3729,1637,730,197,524,928,1290,723,689,946,1198,1721,481
Algeria,0,230802067,230802067,230802067,89147,3824,3291,4124,4989,4976,6124,5912,9227,11499,3044,8994,13637,12285,16308,9684,13017,63446,8836,11271,21525,32225,19552,37381,8328
Algeria,10,230802067,1690041,1102577,89147,3695,3145,3949,4556,4666,5643,5417,8293,10841,2728,8609,11850,8507,11454,6873,9425,51287,6880,7730,15541,24084,15478,25777,5275
Algeria,15,230802067,1471690,1001693,89147,3597,3091,3894,4475,4571,5552,5324,8145,10672,2677,8503,11547,7889,10737,6410,8883,49440,6385,7129,14608,22653,14691,24207,4904
Algeria,20,230802067,1419495,984481,89147,3533,3050,3862,4431,4529,5499,5271,8070,10572,2646,8448,11406,7644,10441,6237,8647,48556,6266,6909,14169,22140,14389,23727,4789
Algeria,25,230802067,1316363,865135,89147,3505,3027,3848,4401,4498,5448,5221,8009,10515,2620,8391,11184,7327,10066,6015,8373,47550,6026,6631,13711,21459,14041,22990,4614
Algeria,30,230802067,1223325,821437,89147,3467,3010,3830,4375,4469,5412,5199,7971,10465,2605,8341,10909,6925,9523,5705,8011,45969,5762,6290,13072,20471,13443,22020,4407
Algeria,50,230802067,895366,472680,89147,2427,2305,3020,3311,3401,4197,4158,6392,8505,2134,7192,8956,5044,6992,4266,6003,37687,4293,4619,9832,15635,10492,17427,3404
Algeria,75,230802067,496534,221008,89147,1192,1357,1781,1810,1847,2428,2465,3766,5234,1340,4995,5734,2426,3374,2224,3218,22658,2354,2264,5234,7979,5371,10110,1978
Angola,0,124691420,124691420,124691420,1224131,120511,73036,69101,98592,134547,108318,219100,158953,273492,198278,289249,255397,269297,300058,228811,333994,443270,372663,273109,394726,445310,391072,408150,432655
Angola,10,124691420,95900328,97264932,1224131,119576,72769,68688,98015,133624,107557,217467,157646,271098,197673,287228,252340,262788,295221,225773,329680,433933,365640,268177,386237,437033,385268,399614,422031
Angola,15,124691420,82758877,82167742,1224131,117428,71049,65177,92391,125078,101064,201814,146842,248898,191229,263068,239418,247343,283518,217283,317796,410995,348391,254966,366088,414258,369306,379506,400968
Angola,20,124691420,65914470,64907907,1224131,109111,65758,57546,80284,106313,86782,167048,121184,196796,173199,212111,203302,202097,244900,186667,268917,336672,287589,208852,298777,346839,311792,316412,335077
Angola,25,124691420,63315324,62605544,1224131,107780,64895,56593,78608,103843,84890,162590,117233,189745,170226,205896,198473,194987,238349,181416,260981,324863,278237,201642,288221,336202,302377,306089,324467
Angola,30,124691420,55276135,53831806,1224131,101218,61008,52464,71273,93438,76936,145288,103557,165904,159800,182909,180747,168837,212657,161712,229690,280422,242522,175077,247979,298263,266916,268278,283340
Angola,50,124691420,31905173,29970257,1224131,76818,43047,35583,43420,53065,48227,88820,56002,92689,111795,100553,113034,99288,135579,102497,137057,159361,146229,101958,133750,190554,158404,160346,158172
Angola,75,124691420,3782933,3335455,1224131,33920,12842,10510,7283,8737,4940,26872,9832,17251,18618,13061,19846,24411,30713,24276,33373,31639,37025,25261,24774,55697,34473,37198,28517
Argentina,0,277905834,277905834,277905834,1107407,193755,125216,318701,522345,428199,360852,481900,652189,332684,444187,538815,520588,443955,298707,211067,276756,290584,206846,179782,246213,261628,302062,284973,267155
Argentina,10,277905834,43361880,42595725,1107407,160339,110455,268415,458165,383839,328018,440254,608379,316423,420851,511206,487425,387795,249789,186227,239403,243601,178931,150814,207003,212095,243002,224691,211780
Argentina,15,277905834,42358903,41977869,1107407,155654,108692,260979,447389,376488,323410,433055,602618,313967,418065,508151,485355,385727,248110,185035,237578,241632,177753,149696,205215,210153,240968,223075,210023
Argentina,20,277905834,41235307,41250613,1107407,152064,107127,255826,441449,372943,320712,430201,598943,312450,416221,504563,482955,382796,245849,183523,235423,239118,176157,148344,202717,207360,238127,220598,207643
Argentina,25,277905834,40127017,39860140,1107407,150427,106392,253634,439049,371194,319400,428702,596804,311572,415231,502341,480846,380121,243723,181971,233069,236793,174823,147084,200280,204661,235631,218466,205628
Argentina,30,277905834,39069969,38368480,1107407,147801,104934,249107,433423,367247,316413,425335,592719,309854,413245,499194,478180,376746,241119,180227,230312,233945,172965,145458,197405,201897,232225,215940,203056
Argentina,50,277905834,23100520,23896159,1107407,102141,73403,131976,248384,228608,210499,247493,396058,206805,297502,355906,347084,253674,155470,119320,143540,159857,112703,98294,133609,136402,163235,153881,141184
Argentina,75,277905834,10581387,13555987,1107407,62984,49356,73617,122897,119550,108962,109380,176418,94061,127332,135990,141394,99025,52048,49176,50507,53630,32415,30963,44772,45566,54795,36777,37392
Australia,0,768777179,768777179,768777179,1600599,961028,556660,997500,255809,736689,399784,594794,354623,289052,479887,168504,193125,356587,565957,490293,680108,451953,532378,2214080,3335014,399129,203793,386479,362685
Australia,10,768777179,65901667,58956861,1600599,361862,386963,561317,155213,288961,249474,431488,263265,238483,389181,135333,156035,282232,338589,311409,498664,294519,334206,1823092,2633077,290479,134968,234851,211033
Australia,15,768777179,57533817,53293889,1600599,354834,383109,549886,151476,275731,244859,425301,259224,237121,385368,134382,154925,280171,334664,307691,494190,292693,328512,1814067,2617186,288432,133784,229813,208355
Australia,20,768777179,48215027,44951815,1600599,285708,344771,452333,138632,231679,226654,406192,245417,229659,369428,129777,149676,271760,310870,289315,470606,273242,298329,1760194,2529078,276247,127797,211374,197389
Australia,25,768777179,46634601,43326560,1600599,278266,342467,445644,134567,215930,218033,397837,235608,225667,360853,127606,147073,269565,307081,283622,463994,266999,288829,1742436,2499378,272986,126136,207163,194147
Australia,30,768777179,42281439,39481413,1600599,218815,312151,373847,124768,177026,186305,372724,205724,203710,290726,121317,139803,260094,281741,261574,430903,236877,250753,1661548,2356518,261045,118986,190715,180671
Australia,50,768777179,25721135,24452489,1600599,67022,84679,151951,94287,96247,114450,181593,127332,168108,87901,86677,88032,181745,192619,149472,305288,175040,155010,1227184,1951341,197489,80013,91077,99045
Australia,75,768777179,17782734,16934269,1600599,55260,63642,128963,80250,78646,89381,148668,93889,150404,74710,71314,67154,124933,134979,110261,207691,121618,102873,770430,1428180,145084,53710,56753,61334
Austria,0,8394663,8394663,8394663,36348,7001,10983,14567,14709,21809,12657,31859,27026,15986,16826,18174,11312,7990,10211,8099,17605,18930,26822,34322,26418,17018,20474,27289,28242
Austria,10,8394663,4520147,4576165,36348,6959,10933,14527,14649,21718,12605,31763,26960,15927,16763,18126,11202,7723,9956,7977,17301,18520,26454,33816,26052,16728,20000,26679,27657
Austria,15,8394663,4447417,4471937,36348,6952,10923,14514,14634,21699,12595,31735,26942,15916,16750,18118,11189,7700,9931,7965,17274,18479,26415,33763,26016,16700,19957,26628,27606
Austria,20,8394663,4421861,4455152,36348,6947,10917,14504,14626,21687,12585,31714,26932,15908,16741,18109,11182,7693,9917,7959,17260,18459,26395,33737,25995,16691,19936,26599,27580
Austria,25,8394663,4393427,4405029,36348,6942,10911,14493,14618,21677,12579,31696,26920,15900,16732,18104,11175,7678,9900,7951,17243,18434,26368,33703,25972,16676,19908,26565,27548
Austria,30,8394663,4340284,4353244,36348,6939,10907,14484,14612,21669,12574,31682,26909,15893,16725,18099,11166,7655,9876,7940,17218,18403,26335,33660,25941,16650,19870,26516,27496
Austria,50,8394663,4118613,4012003,36348,6839,10757,14279,14424,21421,12458,31329,26676,15753,16531,17959,11041,7480,9659,7845,16992,18138,26017,33191,25636,16433,19544,26161,27103
Austria,75,8394663,3397355,3204940,36348,6234,9877,13228,13329,19895,11722,29203,25243,14892,15424,16912,10322,6421,8302,7040,15356,16319,23548,29596,23265,14785,17519,23856,24654
Azerbaijan,0,8623526,8623526,8623526,30269,608,1268,1113,670,294,610,570,551,453,681,216,702,262,453,29,30,84,76,14,27,130,154,701,288
Azerbaijan,10,8623526,1488957,1261740,30269,576,1193,1062,616,261,550,528,493,395,582,159,624,164,351,28,26,81,76,14,24,99,148,504,189
Azerbaijan,15,8623526,1428536,1170416,30269,566,1174,1050,600,255,537,515,478,380,565,153,611,162,348,28,26,81,76,14,24,98,148,496,186
Azerbaijan,20,8623526,1389907,1154071,30269,561,1164,1047,595,252,533,513,477,378,561,151,608,157,341,28,25,81,76,14,24,96,147,486,184
Azerbaijan,25,8623526,1330921,1110568,30269,557,1160,1044,590,249,530,510,474,375,557,150,603,153,334,28,25,81,76,12,24,93,147,474,179
Azerbaijan,30,8623526,1268606,1082392,30269,553,1154,1039,585,247,525,508,472,372,550,147,597,149,328,27,25,80,76,12,23,85,146,461,173
Azerbaijan,50,8623526,1113388,873910,30269,488,1065,983,491,206,467,455,436,322,468,126,526,132,299,26,24,78,76,11,21,69,142,409,156
Azerbaijan,75,8623526,819511,566413,30269,355,787,788,322,135,346,317,326,231,310,89,346,79,190,24,21,74,63,6,16,56,124,281,108
Bangladesh,0,13938387,13938387,13938387,317862,4654,4090,2215,4414,3362,7064,4168,4662,5817,4858,4391,5959,7892,15558,16504,28071,36459,25624,27686,27044,22098,17669,24299,20833
Bangladesh,10,13938387,2660672,3171859,317862,4610,4026,2177,4332,3318,6943,4060,4546,5699,4740,4260,5588,6806,13690,14348,24321,32071,22166,24846,24152,19684,15447,19680,17638
Bangladesh,15,13938387,2282748,2658754,317862,4604,4018,2171,4316,3310,6915,4041,4525,5676,4718,4233,5495,6477,13016,13643,23001,30503,21009,23656,22985,18763,14729,18869,16899
Bangladesh,20,13938387,2194961,2592260,317862,4599,4012,2166,4306,3306,6899,4027,4513,5661,4705,4214,5468,6397,12880,13465,22720,30188,20756,23444,22773,18578,14577,18678,16754
Bangladesh,25,13938387,2076170,2498310,317862,4590,4001,2163,4289,3299,6880,4009,4496,5643,4685,4197,5446,6354,12799,13387,22559,30000,20598,23326,22656,18480,14483,18550,16660
Bangladesh,30,13938387,1938958,2216745,317862,4587,3995,2160,4282,3293,6862,3996,4479,5626,4668,4181,5359,6022,12061,12604,21196,28377,19343,22079,21475,17587,13798,17787,15929
Bangladesh,50,13938387,1522871,1504904,317862,4507,3866,2087,4076,3196,6556,3762,4243,5354,4421,3975,5101,5482,11039,11339,19239,25940,17500,20410,19775,16074,12572,16185,14713
Bangladesh,75,13938387,685582,606822,317862,3910,3124,1684,2998,2645,4986,2722,3121,3958,3108,3034,3907,3215,6445,6517,11094,15179,9824,12170,11775,9228,7166,9610,8940
Belarus,0,20706903,20706903,20706903,963614,18549,25629,32319,38868,36420,42550,32868,36123,35827,35984,45714,40213,29019,34659,35208,94630,81900,90474,77429,70953,65190,67456,62224,74206
Belarus,10,20706903,9666448,10176803,963614,18473,25519,32241,38740,36300,42386,32752,35985,35664,35836,45489,39737,28349,33948,34365,92107,79825,88637,75889,69579,63974,65649,59899,71922
Belarus,15,20706903,9467493,9865239,963614,18418,25463,32192,38686,36254,42331,32707,35946,35616,35801,45438,39682,28261,33833,34198,91577,79463,88252,75603,69353,63798,65402,59654,71652
Belarus,20,20706903,9376192,9789425,963614,18386,25425,32153,38640,36223,42299,32680,35924,35572,35780,45407,39646,28224,33788,34128,91353,79296,88048,75482,69256,63725,65305,59549,71535
Belarus,25,20706903,9268765,9632408,963614,18374,25408,32137,38620,36207,42284,32670,35911,35556,35767,45386,39625,28167,33724,34032,91022,79085,87799,75311,69127,63626,65177,59418,71379
Belarus,30,20706903,9118583,9486569,963614,18360,25383,32120,38597,36192,42269,32657,35896,35542,35754,45366,39591,28085,33626,33899,90487,78767,87447,75049,68933,63478,64996,59233,71160
Belarus,50,20706903,8384055,8482949,963614,17701,24311,31052,37531,35389,41383,32006,35318,34896,35298,44824,39065,27280,32759,32732,85981,75112,82879,72072,66646,61782,63187,57530,69165
Belarus,75,20706903,5798098,5011436,963614,14886,19679,25050,31351,30202,35372,27728,31213,30958,31453,40085,34876,20188,25223,24910,60727,49634,48748,47586,46598,45265,47653,42016,51073
Belgium,0,3070744,3070744,3070744,41687,1027,2386,1934,4887,3092,7001,6045,7294,5287,10995,5090,5769,3464,4441,3606,4876,4575,5060,6031,5873,9666,5426,8309,6884
Belgium,10,3070744,972705,981722,41687,988,2359,1903,4822,3051,6947,6010,7247,5208,10950,5036,5657,3344,4277,3454,4578,4224,4725,5681,5486,9247,4934,7700,6216
Belgium,15,3070744,927597,936071,41687,981,2356,1896,4810,3040,6936,5998,7234,5193,10935,5027,5648,3335,4264,3442,4559,4196,4697,5651,5462,9215,4902,7657,6177
Belgium,20,3070744,913584,929383,41687,977,2353,1894,4803,3037,6929,5993,7225,5187,10928,5023,5642,3331,4256,3437,4547,4182,4680,5630,5448,9196,4884,7637,6151
Belgium,25,3070744,892225,912855,41687,973,2350,1892,4798,3032,6922,5988,7219,5182,10919,5020,5639,3325,4249,3431,4531,4163,4662,5607,5428,9171,4862,7613,6128
Belgium,30,3070744,865425,890288,41687,971,2349,1891,4794,3028,6916,5985,7214,5176,10910,5016,5636,3316,4239,3420,4512,4137,4630,5577,5408,9143,4833,7579,6095
Belgium,50,3070744,778289,778429,41687,927,2311,1842,4678,2938,6803,5884,7094,5082,10743,4957,5584,3261,4161,3343,4359,3971,4447,5347,5224,8917,4652,7360,5882
Belgium,75,3070744,576914,553588,41687,733,2030,1630,4081,2541,6041,5322,6334,4586,9695,4635,5293,2999,3721,2909,3700,3369,3751,4400,4376,7750,3950,6314,4988
Belize,0,2204340,2204341,2204341,18728,8322,13595,6882,4376,8164,4307,12375,8318,10329,9866,26453,11675,16647,16958,12648,20978,17210,11541,19511,27071,9629,8616,23524,34525
Belize,10,2204340,1797153,1797153,18728,8259,13518,6856,4352,8136,4289,12334,8298,10309,9849,26413,11604,16453,16596,12368,20706,16610,11257,18668,26796,9389,8280,22767,34117
Belize,15,2204340,1790508,1790508,18728,8253,13507,6852,4348,8131,4287,12329,8294,10305,9847,26408,11599,16437,16574,12350,20681,16567,11230,18613,26773,9364,8258,22708,34082
Belize,20,2204340,1782587,1782587,18728,8246,13497,6847,4345,8126,4285,12322,8290,10302,9845,26401,11593,16424,16553,12335,20661,16526,11206,18566,26756,9347,8236,22664,34055
Belize,25,2204340,1769012,1769012,18728,8243,13485,6843,4343,8121,4283,12317,8288,10300,9843,26397,11590,16416,16535,12322,20646,16489,11186,18506,26742,9330,8224,22626,34031
Belize,30,2204340,1755302,1755302,18728,8238,13473,6839,4339,8115,4281,12310,8284,10297,9840,26391,11586,16403,16509,12303,20622,16446,11163,18437,26722,9311,8201,22574,34001
Belize,50,2204340,1667397,1667397,18728,8147,13246,6762,4278,8039,4233,12188,8227,10238,9796,26293,11536,16317,16348,12188,20476,16115,10994,18019,26591,9180,8076,22296,33800
Belize,75,2204340,1575027,1575027,18728,7866,12585,6487,4087,7710,4067,11666,8012,9989,9609,25933,11348,16038,15898,11884,20043,15105,10497,17169,26202,8834,7757,21597,33302
Benin,0,11528631,11528631,11528631,181245,18084,20793,30437,4048,35670,12309,57541,6030,78214,2760,7965,62669,39050,44153,22483,26415,44747,46571,25498,39326,40139,56605,61151,50217
Benin,10,11528631,8877131,7726250,181245,17778,20411,30083,3976,35025,12138,56609,5868,77442,2731,7832,61080,36759,42519,21925,26159,43926,45850,25068,38840,39243,55651,60094,49157
Benin,15,11528631,4559877,4251239,181245,10302,12635,19260,2493,18566,7218,33421,2975,44321,1775,4276,24876,22253,28551,15036,21532,33134,34789,18090,31389,28334,40025,43184,35187
Benin,20,11528631,832772,1382983,181245,5182,6029,6954,1176,4107,3152,9720,867,12184,918,1195,6115,5012,6662,2857,6327,8210,8629,3802,8058,7039,9185,12041,8168
Benin,25,11528631,603733,1071635,181245,4771,5181,5646,1032,3170,2691,7982,738,9627,812,1023,4825,3876,4975,2069,5111,6486,6594,2867,6085,5448,6731,9243,6036
Benin,30,11528631,168201,434951,181245,3748,3479,3474,683,1583,1794,4645,481,4920,529,655,2858,1311,1356,599,2011,2235,1821,772,1603,1700,1670,2602,1390
Benin,50,11528631,8986,14037,181245,1881,925,804,115,248,318,844,81,802,98,95,522,29,23,7,58,36,18,6,16,15,15,19,8
Benin,75,11528631,841,146,181245,303,114,110,6,26,19,76,5,88,4,3,37,1,1,0,0,0,0,0,0,0,0,0,0
Bhutan,0,3876297,3876297,3876297,28220,329,242,593,1105,835,678,542,814,1245,4777,1188,907,704,1562,1099,2761,2848,1760,1197,1890,1971,1819,2784,1722
Bhutan,10,3876297,2679176,2646343,28220,307,231,563,1043,792,638,519,788,1202,4511,1135,801,534,1304,823,2105,2141,1372,892,1425,1439,1351,1952,1291
Bhutan,15,3876297,2633403,2599448,28220,303,228,555,1029,779,632,516,783,1192,4447,1117,786,515,1276,791,2047,2061,1319,863,1376,1382,1302,1900,1256
Bhutan,20,3876297,2624347,2588400,28220,301,226,553,1025,777,631,513,781,1186,4425,1112,783,510,1268,785,2033,2041,1309,855,1359,1363,1291,1874,1244
Bhutan,25,3876297,2612863,2533435,28220,299,225,548,1020,774,628,510,779,1183,4401,1108,775,500,1252,769,2005,2013,1279,840,1327,1327,1273,1848,1223
Bhutan,30,3876297,2577237,2508707,28220,297,224,544,1014,770,623,509,776,1176,4354,1091,767,485,1230,748,1962,1972,1240,820,1288,1278,1248,1796,1187
Bhutan,50,3876297,2366476,2116634,28220,277,206,472,921,706,564,469,717,1098,3858,957,691,405,1092,630,1688,1691,1027,696,1098,1050,1073,1537,1029
Bhutan,75,3876297,1664057,1447951,28220,209,164,272,628,509,407,320,523,845,2266,694,521,226,680,329,892,912,495,347,586,497,547,947,556
Bolivia,0,108437926,108437926,108437926,617241,145165,183232,166873,209127,256248,220088,192242,377197,229146,456098,336797,280088,190016,270929,172948,501076,481613,316782,876242,441565,576417,618323,725000,1850774
Bolivia,10,108437926,66523628,65127452,617241,141778,180402,164864,205332,252688,217669,190711,372218,226543,453456,332208,275261,181833,259471,167807,476661,467390,305008,862131,431816,564334,600231,702391,1821478
Bolivia,15,108437926,66049716,64815865,617241,141362,179992,164565,204846,252213,217340,190517,371648,226228,453057,331784,274917,181374,258809,167494,475240,466390,304337,860231,431199,563376,599143,701097,1819750
Bolivia,20,108437926,65490793,64406281,617241,140902,179511,164242,204294,251699,216954,190300,371006,225906,452576,331260,274423,180817,257996,167064,473355,465171,303467,857835,430387,562041,597678,699354,1817490
Bolivia,25,108437926,65040580,63649558,617241,140607,179178,164012,203869,251342,216696,190153,370527,225673,452208,330902,274097,180404,257403,166752,472151,464304,302847,856543,429796,561213,596615,698076,1815840
Bolivia,30,108437926,64556285,62746658,617241,140210,178694,163718,203307,250866,216345,189943,369894,225346,451723,330357,273561,179793,256528,166251,470310,462948,301918,853556,428903,559589,594998,696297,1813614
Bolivia,50,108437926,57513241,56648778,617241,133306,169895,158648,190371,238244,206687,184549,348125,212965,436531,316930,260879,164483,240393,152085,438766,433772,279275,795190,407223,526132,560229,668183,1781089
Bolivia,75,108437926,47856733,49170887,617241,115257,146474,142485,160355,207751,177303,164260,272761,166361,371316,256498,227463,122473,190233,107461,312915,341624,199023,502363,344637,382160,462164,583992,1659686
Bosnia and Herzegovina,0,5106884,5106884,5106884,53276,1540,801,382,4538,625,624,3504,1894,1418,994,1050,3083,3010,1917,751,2614,1687,3004,1323,2019,1173,2385,4770,2648
Bosnia and Herzegovina,10,5106884,2899804,2767165,53276,1516,739,325,4248,589,559,2949,1655,1333,929,1000,2666,2766,1824,623,2449,1478,2846,1262,1902,1074,2187,4169,2374
Bosnia and Herzegovina,15,5106884,2814446,2691402,53276,1506,723,317,4192,580,550,2821,1603,1318,920,988,2571,2690,1814,610,2409,1444,2797,1252,1885,1061,2152,4092,2332
Bosnia and Herzegovina,20,5106884,2777233,2664251,53276,1503,717,315,4169,578,546,2789,1589,1312,918,983,2544,2665,1809,603,2390,1425,2767,1247,1875,1053,2134,4057,2307
Bosnia and Herzegovina,25,5106884,2730527,2623097,53276,1499,701,309,4134,576,539,2711,1563,1302,915,978,2503,2635,1802,595,2359,1395,2731,1242,1862,1044,2107,4019,2279
Bosnia and Herzegovina,30,5106884,2657980,2579845,53276,1496,693,308,4122,573,536,2682,1552,1297,911,970,2434,2574,1790,581,2308,1339,2673,1232,1842,1019,2053,3947,2225
Bosnia and Herzegovina,50,5106884,2477206,2353159,53276,1417,622,280,3875,549,501,2293,1406,1221,872,914,2177,2397,1729,553,2213,1207,2504,1180,1735,943,1879,3668,2092
Bosnia and Herzegovina,75,5106884,2054728,1684043,53276,1099,504,224,3112,461,420,1372,1003,953,727,735,1656,1918,1512,457,1917,977,2136,990,1443,772,1490,3038,1761
Botswana,0,57788404,57788404,57788404,13304,1123,289,207,635,819,369,637,370,523,215,269,483,2188,848,42,99,323,82,90,143,187,93,64,94
Botswana,10,57788404,2410465,2647629,13304,1017,262,174,587,755,345,552,322,483,196,239,183,653,250,21,69,225,62,65,99,127,70,49,60
Botswana,15,57788404,562898,579960,13304,629,166,114,409,493,251,346,199,343,139,181,117,253,139,7,28,72,23,19,44,36,28,28,25
Botswana,20,57788404,102704,29507,13304,268,64,33,132,137,84,90,53,105,64,53,42,58,47,1,3,7,5,1,9,4,4,5,5
Botswana,25,57788404,54070,16064,13304,233,54,24,109,113,71,74,44,86,56,46,34,32,29,0,1,4,4,0,6,4,3,4,2
Botswana,30,57788404,20328,4581,13304,131,23,8,51,49,40,34,27,41,30,21,16,14,15,0,1,1,2,0,2,1,2,2,1
Botswana,50,57788404,1278,228,13304,29,1,1,2,1,3,4,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Botswana,75,57788404,22,3,13304,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,850907198,850907198,850907198,8066542,2933201,3715945,3489258,4133606,3675951,3094811,2845584,2674826,2010910,2947366,2148317,3394295,2552116,3526763,2925679,6407238,5559046,3785527,3475769,4133235,3902719,4275317,4101572,5379616
Brazil,10,850907198,548311110,522889418,8066542,2807288,3570827,3316863,3926590,3539087,2934674,2680825,2500356,1859985,2753035,1969874,3023441,2047494,2844791,2343840,5564327,4689031,3080681,2819693,3432505,3140510,3474818,3015745,4543211
Brazil,15,850907198,541360375,517622112,8066542,2794124,3556840,3300848,3907915,3527070,2921338,2667103,2487051,1849799,2738068,1959973,3002197,2026949,2813714,2319719,5526473,4652090,3053004,2793763,3403335,3109911,3441056,2974383,4511676
Brazil,20,850907198,532270848,512569845,8066542,2775101,3537911,3280837,3886289,3512112,2904324,2650263,2471561,1838316,2720231,1947403,2973554,1998241,2771484,2285990,5473802,4604178,3014380,2758774,3363186,3066760,3392872,2912187,4466962
Brazil,25,850907198,526491273,506370240,8066542,2761540,3524252,3266865,3870986,3500511,2891067,2637163,2458863,1829769,2705413,1937405,2949871,1977731,2740218,2261163,5435004,4570358,2988110,2733724,3334168,3035925,3359243,2869594,4436572
Brazil,30,850907198,519056656,498076031,8066542,2746284,3506873,3248391,3848493,3486212,2876674,2621699,2444092,1817716,2688727,1923161,2918560,1945478,2692912,2222655,5378611,4519547,2948393,2696542,3290645,2990030,3308335,2805356,4391695
Brazil,50,850907198,475559754,453165876,8066542,2511699,3258964,2971837,3554698,3271487,2644810,2370487,2211788,1608296,2411780,1720030,2579850,1712448,2368466,1955073,4980430,4188705,2688413,2466055,3025888,2711203,2997128,2447521,4131618
Brazil,75,850907198,429108384,410279135,8066542,2094798,2819279,2533253,3103546,2894748,2310163,1984499,1902114,1348192,2036569,1453727,2108990,1408829,1922159,1591385,4397759,3632674,2308041,2129479,2603662,2323561,2571704,1997765,3743410
Brunei,0,577739,577739,577739,7532,1266,1101,806,1206,1290,1024,1585,1314,2180,978,2641,1884,956,2445,2024,3006,1057,921,1410,1361,1074,1047,1088,1303
Brunei,10,577739,533974,533167,7532,1250,1093,801,1199,1282,1017,1571,1304,2173,968,2625,1845,898,2266,1806,2643,966,827,1212,1197,973,939,938,1091
Brunei,15,577739,532314,531218,7532,1247,1091,800,1198,1281,1017,1569,1303,2172,968,2624,1843,896,2252,1791,2621,959,822,1199,1189,965,932,930,1075
Brunei,20,577739,531381,530794,7532,1246,1090,800,1198,1279,1014,1568,1301,2171,967,2623,1840,893,2244,1784,2604,954,817,1191,1181,962,928,926,1066
